book_title,avg_ratings,num_ratings,book_author,publisher,Category
Harry Potter and the Prisoner of Azkaban (Book 3),5.852803738317757,428,J. K. Rowling,Scholastic,['Juvenile Fiction']
Harry Potter and the Goblet of Fire (Book 4),5.8242894056847545,387,J. K. Rowling,Scholastic,['Juvenile Fiction']
Harry Potter and the Sorcerer's Stone (Book 1),5.737410071942446,278,J. K. Rowling,Scholastic,['Juvenile Fiction']
Harry Potter and the Order of the Phoenix (Book 5),5.501440922190202,347,J. K. Rowling,Scholastic,['Juvenile Fiction']
Harry Potter and the Chamber of Secrets (Book 2),5.183453237410072,556,J. K. Rowling,Scholastic,['Juvenile Fiction']
The Hobbit : The Enchanting Prelude to The Lord of the Rings,5.00711743772242,281,J.R.R. TOLKIEN,Del Rey,9
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",4.948369565217392,368,J. R. R. Tolkien,Houghton Mifflin Company,['Fiction']
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),4.895652173913043,575,J. K. Rowling,Arthur A. Levine Books,['Juvenile Fiction']
"The Two Towers (The Lord of the Rings, Part 2)",4.880769230769231,260,J. R. R. Tolkien,Houghton Mifflin Company,9
To Kill a Mockingbird,4.7,510,Harper Lee,Little Brown & Company,['Fiction']
The Da Vinci Code,4.642538975501114,898,Dan Brown,Doubleday,['Fiction']
The Five People You Meet in Heaven,4.551162790697674,430,Mitch Albom,Hyperion,['Fiction']
The Catcher in the Rye,4.5456570155902005,449,J.D. Salinger,"Little, Brown",['Fiction']
The Lovely Bones: A Novel,4.468725868725869,1295,Alice Sebold,"Little, Brown",9
1984,4.454225352112676,284,George Orwell,Signet Book,['London (England)']
Prodigal Summer: A Novel,4.450592885375494,253,Barbara Kingsolver,Perennial,9
Neverwhere,4.449056603773585,265,Neil Gaiman,Avon,['Fiction']
The Secret Life of Bees,4.447028423772609,774,Sue Monk Kidd,Penguin Books,['Fiction']
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,4.3568904593639575,283,Michael Moore,Regan Books,['Political Science']
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",4.354969574036511,493,MITCH ALBOM,Doubleday,['Biography & Autobiography']
The Red Tent (Bestselling Backlist),4.334716459197787,723,Anita Diamant,Picador USA,['Fiction']
The Hitchhiker's Guide to the Galaxy,4.3283582089552235,268,Douglas Adams,Pocket,['Humorous stories']
Nickel and Dimed: On (Not) Getting By in America,4.28955223880597,335,Barbara Ehrenreich,Owl Books,['Business & Economics']
Into the Wild,4.273809523809524,252,Jon Krakauer,Anchor,9
Fahrenheit 451,4.264058679706602,409,Ray Bradbury,"Plaza & Janes Editores, S.A.",['Fiction']
Girl with a Pearl Earring,4.218631178707224,526,Tracy Chevalier,Plume Books,['Fiction']
Outlander,4.173144876325089,283,DIANA GABALDON,Dell,9
Where the Heart Is (Oprah's Book Club (Paperback)),4.105982905982906,585,Billie Letts,Warner Books,9
Seabiscuit: An American Legend,4.098181818181819,275,LAURA HILLENBRAND,Ballantine Books,['History']
Life of Pi,4.088855421686747,664,Yann Martel,Harcourt,['Fiction']
The Bean Trees,4.087403598971722,389,Barbara Kingsolver,Perennial,9
"A Child Called \It\"": One Child's Courage to Survive""",4.086792452830188,265,Dave Pelzer,Health Communications,9
ANGELA'S ASHES,4.075268817204301,279,Frank McCourt,Scribner,['Biography & Autobiography']
Good in Bed,4.055102040816327,490,Jennifer Weiner,Washington Square Press,['Fiction']
Fast Food Nation: The Dark Side of the All-American Meal,4.037383177570093,321,Eric Schlosser,Perennial,9
American Gods,4.006622516556291,302,Neil Gaiman,HarperTorch,['Fiction']
Skipping Christmas,4.0062111801242235,322,JOHN GRISHAM,Doubleday,['Fiction']
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),4.00314465408805,318,Tim Lahaye,Tyndale House Publishers,['Rapture (Christian eschatology)']
"The Golden Compass (His Dark Materials, Book 1)",4.0,336,PHILIP PULLMAN,Knopf Books for Young Readers,9
The Color Purple,3.964968152866242,314,Alice Walker,Pocket Books,9
Silence of the Lambs,3.9609375,256,Thomas Harris,St. Martin's Press,['Fiction']
About a Boy,3.900763358778626,262,Nick Hornby,Riverhead Books,9
Seven Up (A Stephanie Plum Novel),3.8884892086330933,278,Janet Evanovich,St. Martin's Press,['Fiction']
The Alchemist: A Fable About Following Your Dream,3.8759398496240602,266,Paulo Coelho,HarperSanFrancisco,9
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),3.825278810408922,269,Janet Evanovich,St. Martin's Paperbacks,9
Suzanne's Diary for Nicholas,3.8205689277899344,457,James Patterson,"Little, Brown",['Fiction']
Lord of the Flies,3.8185328185328187,259,William Gerald Golding,Perigee Trade,['Fiction']
A Prayer for Owen Meany,3.7966101694915255,413,John Irving,Ballantine Books,['Fiction']
"The Vampire Lestat (Vampire Chronicles, Book II)",3.777408637873754,301,ANNE RICE,Ballantine Books,['Horror tales']
White Oleander : A Novel (Oprah's Book Club),3.7724719101123596,356,Janet Fitch,Back Bay Books,9
